山名,標高,所在地,lat,lon,分類,登頂済み,登頂日
三里山,400,高知県,33.5133,133.5844,四国百名山,False,
手結山,200,高知県,33.5411,133.7586,四国百名山,False,
五台山,146,高知県,33.5458,133.5653,四国百名山,False,
石鎚山,1982,愛媛県,33.7711,133.1154,四国百名山,False,
二ノ森,1929,愛媛県,33.7631,133.0886,四国百名山,False,
堂ヶ森,1689,愛媛県,33.7381,133.0536,四国百名山,False,
瓶ヶ森,1897,愛媛県,33.7939,133.1953,四国百名山,False,
西黒森,1861,愛媛県,33.8058,133.2117,四国百名山,False,
伊予富士,1756,愛媛県,33.7917,133.2433,四国百名山,False,
東黒森,1735,愛媛県,33.8011,133.2556,四国百名山,False,
笹ヶ峰,1859,愛媛県,33.8208,133.2711,四国百名山,False,
ちち山,1855,愛媛県,33.8258,133.2847,四国百名山,False,
赤星山,1453,愛媛県,33.9186,133.2844,四国百名山,False,
東赤石山,1706,愛媛県,33.8764,133.3744,四国百名山,False,
西赤石山,1626,愛媛県,33.8711,133.3283,四国百名山,False,
二ッ岳,1647,愛媛県,33.915,133.435,四国百名山,False,
平家平,1693,愛媛県,33.8164,133.3444,四国百名山,False,
翠波峰,892,愛媛県,33.9511,133.5256,四国百名山,False,
高縄山,986,愛媛県,33.9481,132.8344,四国百名山,False,
皿ヶ嶺,1271,愛媛県,33.7225,132.9056,四国百名山,False,
引地山,1027,愛媛県,33.7011,132.8536,四国百名山,False,
三本杭,1229,愛媛県,33.2133,132.6167,四国百名山,False,
鬼ヶ城山,1151,愛媛県,33.2189,132.5936,四国百名山,False,
篠山,1065,愛媛県,32.9644,132.6594,四国百名山,False,
笠置山,412,愛媛県,33.3858,132.4211,四国百名山,False,
出石山,812,愛媛県,33.5411,132.4586,四国百名山,False,
中津明神山,1541,愛媛県,33.6211,133.0536,四国百名山,False,
大川嶺,1520,愛媛県,33.5936,132.9344,四国百名山,False,
小田深山,1100,愛媛県,33.5358,132.8811,四国百名山,False,
五段高原,1456,愛媛県,33.4811,132.9811,四国百名山,False,
高茂岬,100,愛媛県,32.9064,132.4586,四国百名山,False,
横峰寺,750,愛媛県,33.8344,133.1211,四国百名山,False,
今治城,10,愛媛県,34.0653,133.0044,四国百名山,False,
大三島,437,愛媛県,34.2358,133.0111,四国百名山,False,
伯方島,300,愛媛県,34.2058,133.0844,四国百名山,False,
大島,381,愛媛県,34.1558,133.0544,四国百名山,False,
佐田岬,100,愛媛県,33.3458,132.0111,四国百名山,False,
宇和島城,80,愛媛県,33.2211,132.5644,四国百名山,False,
兴居島,282,愛媛県,33.8858,132.6844,四国百名山,False,
鹿島,114,愛媛県,33.9758,132.7744,四国百名山,False,
